Census Year,County,lat,lng,Type of Livestock,VALUE
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1365.2
2000,Carlow,52.84083, -6.92611,Total cattle,2393.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,461.0
2000,Carlow,52.84083, -6.92611,Total sheep,5247.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2187.0
2000,Carlow,52.84083, -6.92611,Total cattle,2383.0
2000,Carlow,52.84083, -6.92611,Dairy cows,476.0
2000,Carlow,52.84083, -6.92611,Other cows,174.0
2000,Carlow,52.84083, -6.92611,Total sheep,2847.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1888.6
2000,Carlow,52.84083, -6.92611,Total cattle,835.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,185.0
2000,Carlow,52.84083, -6.92611,Total sheep,2371.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),792.8
2000,Carlow,52.84083, -6.92611,Total cattle,1146.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,248.0
2000,Carlow,52.84083, -6.92611,Total sheep,1396.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),921.9
2000,Carlow,52.84083, -6.92611,Total cattle,989.0
2000,Carlow,52.84083, -6.92611,Dairy cows,0.0
2000,Carlow,52.84083, -6.92611,Other cows,316.0
2000,Carlow,52.84083, -6.92611,Total sheep,2863.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),906.0
2000,Carlow,52.84083, -6.92611,Total cattle,1042.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,111.0
2000,Carlow,52.84083, -6.92611,Total sheep,2601.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),961.7
2000,Carlow,52.84083, -6.92611,Total cattle,1621.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,273.0
2000,Carlow,52.84083, -6.92611,Total sheep,4594.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1558.2
2000,Carlow,52.84083, -6.92611,Total cattle,2333.0
2000,Carlow,52.84083, -6.92611,Dairy cows,310.0
2000,Carlow,52.84083, -6.92611,Other cows,240.0
2000,Carlow,52.84083, -6.92611,Total sheep,5904.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2165.8
2000,Carlow,52.84083, -6.92611,Total cattle,1376.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,254.0
2000,Carlow,52.84083, -6.92611,Total sheep,3375.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1290.0
2000,Carlow,52.84083, -6.92611,Total cattle,1575.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,371.0
2000,Carlow,52.84083, -6.92611,Total sheep,2749.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1489.6
2000,Carlow,52.84083, -6.92611,Total cattle,1890.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,318.0
2000,Carlow,52.84083, -6.92611,Total sheep,5063.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1738.2
2000,Carlow,52.84083, -6.92611,Total cattle,1793.0
2000,Carlow,52.84083, -6.92611,Dairy cows,180.0
2000,Carlow,52.84083, -6.92611,Other cows,384.0
2000,Carlow,52.84083, -6.92611,Total sheep,6570.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2379.0
2000,Carlow,52.84083, -6.92611,Total cattle,764.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,31.0
2000,Carlow,52.84083, -6.92611,Total sheep,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),613.8
2000,Carlow,52.84083, -6.92611,Total cattle,1419.0
2000,Carlow,52.84083, -6.92611,Dairy cows,211.0
2000,Carlow,52.84083, -6.92611,Other cows,191.0
2000,Carlow,52.84083, -6.92611,Total sheep,1959.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1226.0
2000,Carlow,52.84083, -6.92611,Total cattle,1110.0
2000,Carlow,52.84083, -6.92611,Dairy cows,186.0
2000,Carlow,52.84083, -6.92611,Other cows,130.0
2000,Carlow,52.84083, -6.92611,Total sheep,1326.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),878.2
2000,Carlow,52.84083, -6.92611,Total cattle,1832.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,335.0
2000,Carlow,52.84083, -6.92611,Total sheep,10345.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2171.6
2000,Carlow,52.84083, -6.92611,Total cattle,2311.0
2000,Carlow,52.84083, -6.92611,Dairy cows,425.0
2000,Carlow,52.84083, -6.92611,Other cows,326.0
2000,Carlow,52.84083, -6.92611,Total sheep,5132.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2047.1
2000,Carlow,52.84083, -6.92611,Total cattle,2559.0
2000,Carlow,52.84083, -6.92611,Dairy cows,151.0
2000,Carlow,52.84083, -6.92611,Other cows,670.0
2000,Carlow,52.84083, -6.92611,Total sheep,18914.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),3564.2
2000,Carlow,52.84083, -6.92611,Total cattle,1394.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,296.0
2000,Carlow,52.84083, -6.92611,Total sheep,8246.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1705.1
2000,Carlow,52.84083, -6.92611,Total cattle,1992.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,429.0
2000,Carlow,52.84083, -6.92611,Total sheep,11881.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2518.3
2000,Carlow,52.84083, -6.92611,Total cattle,1752.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,320.0
2000,Carlow,52.84083, -6.92611,Total sheep,3791.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1581.6
2000,Carlow,52.84083, -6.92611,Total cattle,1516.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,255.0
2000,Carlow,52.84083, -6.92611,Total sheep,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1271.8
2000,Carlow,52.84083, -6.92611,Total cattle,1217.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,117.0
2000,Carlow,52.84083, -6.92611,Total sheep,1907.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),991.6
2000,Carlow,52.84083, -6.92611,Total cattle,1480.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,222.0
2000,Carlow,52.84083, -6.92611,Total sheep,6207.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1605.3
2000,Carlow,52.84083, -6.92611,Total cattle,1874.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,506.0
2000,Carlow,52.84083, -6.92611,Total sheep,9253.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2165.2
2000,Carlow,52.84083, -6.92611,Total cattle,1134.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,202.0
2000,Carlow,52.84083, -6.92611,Total sheep,2116.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),958.3
2000,Carlow,52.84083, -6.92611,Total cattle,2756.0
2000,Carlow,52.84083, -6.92611,Dairy cows,440.0
2000,Carlow,52.84083, -6.92611,Other cows,294.0
2000,Carlow,52.84083, -6.92611,Total sheep,8649.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),3877.5
2000,Carlow,52.84083, -6.92611,Total cattle,2476.0
2000,Carlow,52.84083, -6.92611,Dairy cows,449.0
2000,Carlow,52.84083, -6.92611,Other cows,337.0
2000,Carlow,52.84083, -6.92611,Total sheep,4838.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2137.6
2000,Carlow,52.84083, -6.92611,Total cattle,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Dairy cows,0.0
2000,Carlow,52.84083, -6.92611,Other cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Total sheep,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),3560.2599999999998
2000,Carlow,52.84083, -6.92611,Total cattle,1719.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,491.0
2000,Carlow,52.84083, -6.92611,Total sheep,9537.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2057.2
2000,Carlow,52.84083, -6.92611,Total cattle,1794.0
2000,Carlow,52.84083, -6.92611,Dairy cows,340.0
2000,Carlow,52.84083, -6.92611,Other cows,194.0
2000,Carlow,52.84083, -6.92611,Total sheep,5168.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2781.9
2000,Carlow,52.84083, -6.92611,Total cattle,2834.0
2000,Carlow,52.84083, -6.92611,Dairy cows,309.0
2000,Carlow,52.84083, -6.92611,Other cows,703.0
2000,Carlow,52.84083, -6.92611,Total sheep,5027.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2294.1
2000,Carlow,52.84083, -6.92611,Total cattle,816.0
2000,Carlow,52.84083, -6.92611,Dairy cows,0.0
2000,Carlow,52.84083, -6.92611,Other cows,284.0
2000,Carlow,52.84083, -6.92611,Total sheep,6830.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1193.6
2000,Carlow,52.84083, -6.92611,Total cattle,3435.0
2000,Carlow,52.84083, -6.92611,Dairy cows,588.0
2000,Carlow,52.84083, -6.92611,Other cows,531.0
2000,Carlow,52.84083, -6.92611,Total sheep,3592.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2650.7
2000,Carlow,52.84083, -6.92611,Total cattle,2699.0
2000,Carlow,52.84083, -6.92611,Dairy cows,392.0
2000,Carlow,52.84083, -6.92611,Other cows,359.0
2000,Carlow,52.84083, -6.92611,Total sheep,2770.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2027.9
2000,Carlow,52.84083, -6.92611,Total cattle,1739.0
2000,Carlow,52.84083, -6.92611,Dairy cows,123.0
2000,Carlow,52.84083, -6.92611,Other cows,509.0
2000,Carlow,52.84083, -6.92611,Total sheep,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1246.7
2000,Carlow,52.84083, -6.92611,Total cattle,2704.0
2000,Carlow,52.84083, -6.92611,Dairy cows,386.0
2000,Carlow,52.84083, -6.92611,Other cows,396.0
2000,Carlow,52.84083, -6.92611,Total sheep,8160.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),2594.7
2000,Carlow,52.84083, -6.92611,Total cattle,1999.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,342.0
2000,Carlow,52.84083, -6.92611,Total sheep,4927.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1820.1
2000,Carlow,52.84083, -6.92611,Total cattle,2091.0
2000,Carlow,52.84083, -6.92611,Dairy cows,237.0
2000,Carlow,52.84083, -6.92611,Other cows,285.0
2000,Carlow,52.84083, -6.92611,Total sheep,4472.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1859.7
2000,Carlow,52.84083, -6.92611,Total cattle,1888.0
2000,Carlow,52.84083, -6.92611,Dairy cows,327.0
2000,Carlow,52.84083, -6.92611,Other cows,328.0
2000,Carlow,52.84083, -6.92611,Total sheep,4736.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1725.7
2000,Carlow,52.84083, -6.92611,Total cattle,1203.0
2000,Carlow,52.84083, -6.92611,Dairy cows,3560.2599999999998
2000,Carlow,52.84083, -6.92611,Other cows,91.0
2000,Carlow,52.84083, -6.92611,Total sheep,2732.0
2000,Carlow,52.84083, -6.92611,Livestock Units (LSU),1105.3
2000,Carlow,52.84083, -6.92611,Total cattle,2398.0
2000,Carlow,52.84083, -6.92611,Dairy cows,427.0
2000,Carlow,52.84083, -6.92611,Other cows,212.0
